datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
3/5/2007 18:35,billings,mt,us,oval,3,3 seconds,Two very bright lights moved quickly across the sky at about 8:30 pm MST.  Object appeared oval or egg shaped.,3/8/2007,45.7833333,-108.5000000
3/5/2012 20:00,jordan (sr mt200&#44 westbound),mt,us,unknown,7200,2 hrs,For two hours we saw bright lights flying very low in MT. very close to us. Dimming&#44 off&#44 bright.,3/13/2012,47.3208333,-106.9094444
3/6/2005 17:00,great falls,mt,us,cigar,600,10 min,My son &amp; I were driving down the road when I noticed a strange objet in the sky.  The sky was clear blue and the object was in the shap,5/11/2005,47.5002778,-111.3000000
3/7/1998 22:00,chinook,mt,us,changing,7200,2hours,I was outside of my house&#44admiring the night sky&#44when I noticed an object streak across the sky and then stop very quickly. Then anothe,1/28/1999,48.5900000,-109.2305556
3/7/2005 20:30,bozeman,mt,us,,900,12-15 mins.,As my daughters and I sat in our hot tub out back....my oldest daughter asked about a &quot;green star.&quot;  I looked up and saw what looked li,5/11/2005,45.6797222,-111.0377778
3/7/2010 21:20,missoula,mt,us,triangle,300,5 minutes,Bright Red Triangle object hovering in sky.,4/13/2010,46.8722222,-113.9930556
3/8/2007 22:00,butte,mt,us,light,60,1 min,light in the western skys of butte.  ((NUFORC Note:  Venus??  PD)),4/27/2007,46.0038889,-112.5338889
3/9/2001 20:19,bozeman (i-90 west&#44  20-30 miles before),mt,us,oval,120,2 min.,three seperate object&#44 the center light was a red triangle in a light fog,4/1/2001,45.6797222,-111.0377778
4/10/2008 21:48,butte,mt,us,light,180,2 to 3 minutes,My sighting tonight has me more freaked out than ever. Even though Im a science nut and enjoy reading about the history of UFO&#39s and se,6/12/2008,46.0038889,-112.5338889
4/1/1986 22:00,red lodge (6 mi n; hwy 212),mt,us,unknown,90,1.5 min,Definitely an aircraft but totally silent and very slow.,1/11/2002,45.1858333,-109.2461111
