date,timestamp,year,month,count
1966-3,1966-03-01T00:00:00Z,1966,Mar,10
1966-4,1966-04-01T00:00:00Z,1966,April,7
1966-5,1966-05-01T00:00:00Z,1966,May,9
1966-6,1966-06-01T00:00:00Z,1966,June,50
1966-7,1966-07-01T00:00:00Z,1966,July,21
1966-8,1966-08-01T00:00:00Z,1966,Aug,17
1966-9,1966-09-01T00:00:00Z,1966,Sept,17
1966-10,1966-10-01T00:00:00Z,1966,Oct,14
1966-11,1966-11-01T00:00:00Z,1966,Nov,6
1966-12,1966-12-01T00:00:00Z,1966,Dec,4
1967-2,1967-02-01T00:00:00Z,1967,Feb,4
1967-3,1967-03-01T00:00:00Z,1967,Mar,6
1967-4,1967-04-01T00:00:00Z,1967,April,12
1967-5,1967-05-01T00:00:00Z,1967,May,9
1967-6,1967-06-01T00:00:00Z,1967,June,42
1967-7,1967-07-01T00:00:00Z,1967,July,12
1967-8,1967-08-01T00:00:00Z,1967,Aug,23
1967-9,1967-09-01T00:00:00Z,1967,Sept,18
1967-10,1967-10-01T00:00:00Z,1967,Oct,14
1967-11,1967-11-01T00:00:00Z,1967,Nov,4
1967-12,1967-12-01T00:00:00Z,1967,Dec,3
1968-1,1968-01-01T00:00:00Z,1968,Jan,10
1968-2,1968-02-01T00:00:00Z,1968,Feb,1
1968-3,1968-03-01T00:00:00Z,1968,Mar,2
1968-4,1968-04-01T00:00:00Z,1968,April,10
1968-5,1968-05-01T00:00:00Z,1968,May,11
1968-6,1968-06-01T00:00:00Z,1968,June,58
1968-7,1968-07-01T00:00:00Z,1968,July,31
1968-8,1968-08-01T00:00:00Z,1968,Aug,19
1968-9,1968-09-01T00:00:00Z,1968,Sept,10
1968-10,1968-10-01T00:00:00Z,1968,Oct,15
1968-11,1968-11-01T00:00:00Z,1968,Nov,4
1968-12,1968-12-01T00:00:00Z,1968,Dec,4
1969-1,1969-01-01T00:00:00Z,1969,Jan,4
1969-2,1969-02-01T00:00:00Z,1969,Feb,1
1969-3,1969-03-01T00:00:00Z,1969,Mar,5
1969-4,1969-04-01T00:00:00Z,1969,April,2
1969-5,1969-05-01T00:00:00Z,1969,May,6
1969-6,1969-06-01T00:00:00Z,1969,June,29
1969-7,1969-07-01T00:00:00Z,1969,July,29
1969-8,1969-08-01T00:00:00Z,1969,Aug,16
1969-9,1969-09-01T00:00:00Z,1969,Sept,4
1969-10,1969-10-01T00:00:00Z,1969,Oct,15
1969-11,1969-11-01T00:00:00Z,1969,Nov,5
1969-12,1969-12-01T00:00:00Z,1969,Dec,4
1970-1,1970-01-01T00:00:00Z,1970,Jan,7
1970-2,1970-02-01T00:00:00Z,1970,Feb,5
1970-3,1970-03-01T00:00:00Z,1970,Mar,3
1970-4,1970-04-01T00:00:00Z,1970,April,2
1970-5,1970-05-01T00:00:00Z,1970,May,10
1970-6,1970-06-01T00:00:00Z,1970,June,26
1970-7,1970-07-01T00:00:00Z,1970,July,18
1970-8,1970-08-01T00:00:00Z,1970,Aug,10
1970-9,1970-09-01T00:00:00Z,1970,Sept,9
